amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta_x,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,flag_negative_sharpe,flag_expense_ratio_out_of_range,alpha_ann_pct,beta_y
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,11.49,23.201,0.89,0.88,1.29,14.0,-21.7,14288,1.54,4,Moderate,False,False,23.201,-0.0318
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,19.8686,0.87,0.81,1.29,14.0,-24.43,1231,0.66,3,Moderate,False,False,19.8686,-0.0262
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,30.337,0.89,0.94,1.35,25.0,-13.35,19259,1.43,5,Very High,False,False,30.337,-0.0232
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,4.8824,1.04,0.93,1.67,25.0,-24.78,36061,0.72,4,Very High,False,False,4.8824,0.062
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,5.6209,0.22,1.52,2.11,4.0,-2.3,24101,0.77,5,Low,False,False,5.6209,-0.0064
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,14.06,3.7476,0.97,1.06,1.7,14.0,-17.41,6434,1.55,5,Moderate,False,False,3.7476,-0.0583
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,12.25,17.7298,0.97,0.96,1.45,14.0,-33.5,10611,0.92,4,Moderate,False,False,17.7298,0.0488
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,15.63,27.1954,0.91,0.87,1.44,19.0,-13.67,23185,1.38,5,High,False,False,27.1954,0.0051
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,14.39,11.9891,1.04,0.8,1.38,19.0,-32.22,18792,0.78,4,High,False,False,11.9891,0.0091
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,4.2818,0.44,1.84,2.79,4.0,-6.01,27953,0.56,3,Low,False,False,4.2818,0.0012
